Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
27/06/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-6.83,361.49,ENTERTAINMENT,
27/06/2024,Stephen Couratier & Jennifer Lees,Percent,TRANSFER,5000.00,5361.49,INCOME,
01/07/2024,Starling Bank,June Interest Earned,DEPOSIT INTEREST,3.05,5364.54,INCOME,
02/07/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-12.49,5352.05,ENTERTAINMENT,
11/07/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,5023.05,GENERAL,
15/07/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-42.53,4980.52,ENTERTAINMENT,
16/07/2024,Softkeys-Uk,SOFTKEYS-UK,ONLINE PAYMENT,-9.99,4970.53,SHOPPING,
22/07/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-19.99,4950.54,ENTERTAINMENT,
27/07/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.94,4924.60,BILLS_AND_SERVICES,
27/07/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.94,4898.66,BILLS_AND_SERVICES,
27/07/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.94,4872.72,BILLS_AND_SERVICES,
01/08/2024,Starling Bank,July Interest Earned,DEPOSIT INTEREST,13.47,4886.19,INCOME,
01/08/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-15.42,4870.77,ENTERTAINMENT,
08/08/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,4541.77,GENERAL,
17/08/2024,Tilgate Park Watersports Limited,Sat,FASTER PAYMENT,-20.00,4521.77,PAYMENTS,
27/08/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.55,4496.22,BILLS_AND_SERVICES,
27/08/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.55,4470.67,BILLS_AND_SERVICES,
27/08/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.55,4445.12,BILLS_AND_SERVICES,
28/08/2024,Amazon,AMAZON* SB5Y99EO5,ONLINE PAYMENT,-1504.13,2940.99,SHOPPING,
30/08/2024,Obsidian.Md,OBSIDIAN.MD,ONLINE PAYMENT,-73.05,2867.94,SHOPPING,
31/08/2024,Lastpass,LASTPASS.COM,CARD SUBSCRIPTION,-37.44,2830.50,SHOPPING,
01/09/2024,Starling Bank,August Interest Earned,DEPOSIT INTEREST,11.92,2842.42,INCOME,
02/09/2024,Ninjatrader,NINJATRADER,ONLINE PAYMENT,-9.14,2833.28,SHOPPING,
05/09/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,2504.28,GENERAL,
06/09/2024,Softkeys-Uk,SOFTKEYS-UK,ONLINE PAYMENT,-9.99,2494.29,SHOPPING,
11/09/2024,Sp Wooting Store Eu,SP WOOTING STORE EU,ONLINE PAYMENT,-180.95,2313.34,GENERAL,
26/09/2024,Stephen Couratier & Jennifer Lees,Refull,TRANSFER,2250.00,4563.34,INCOME,
27/09/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.06,4538.28,BILLS_AND_SERVICES,
27/09/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.06,4513.22,BILLS_AND_SERVICES,
27/09/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.06,4488.16,BILLS_AND_SERVICES,
30/09/2024,Http://discworldem,HTTP://WWW.DISCWORLDEM,ONLINE PAYMENT,-632.60,3855.56,SHOPPING,
01/10/2024,Starling Bank,September Interest Earned,DEPOSIT INTEREST,7.25,3862.81,INCOME,
01/10/2024,Ninjatrader,NINJATRADER,ONLINE PAYMENT,-8.98,3853.83,SHOPPING,
01/10/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,3524.83,GENERAL,
11/10/2024,Amazon,AMAZON* TQ8R080D4,ONLINE PAYMENT,-1599.00,1925.83,SHOPPING,
27/10/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.88,1899.95,BILLS_AND_SERVICES,
27/10/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.88,1874.07,BILLS_AND_SERVICES,
27/10/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.88,1848.19,BILLS_AND_SERVICES,
28/10/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,1519.19,GENERAL,
29/10/2024,Blizz *eu236361870,BLIZZARD *EU279501425 ,ONLINE PAYMENT,-65.10,1454.09,SHOPPING,
01/11/2024,Starling Bank,October Interest Earned,DEPOSIT INTEREST,6.46,1460.55,INCOME,
01/11/2024,Ninjatrader,NINJATRADER,ONLINE PAYMENT,-9.35,1451.20,SHOPPING,
05/11/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-7.65,1443.55,ENTERTAINMENT,
13/11/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-4.29,1439.26,ENTERTAINMENT,
17/11/2024,Blizzard *us730575116,BLIZZARD *US764248815 ,CARD SUBSCRIPTION,-61.72,1377.54,SHOPPING,
18/11/2024,Blizzard *us730575116,BLIZZARD *US764703629 ,ONLINE PAYMENT,-19.80,1357.74,SHOPPING,
25/11/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,1028.74,GENERAL,
27/11/2024,Apple App Store,APPLE.COM/BILL,CARD SUBSCRIPTION,-6.99,1021.75,ENTERTAINMENT,
